User-ID,User-Name,Location,Age,Password
8019,User-8019,"toronto, ontario, canada",,u8019
8066,User-8066,"chicago, illinois, usa",,u8066
8067,User-8067,"owings mills, maryland, usa",26.0,u8067
8187,User-8187,"bend, oregon, usa",,u8187
8234,User-8234,"colorado springs, colorado, usa",44.0,u8234
8245,User-8245,"torrance, california, usa",31.0,u8245
8253,User-8253,"tulsa, oklahoma, usa",26.0,u8253
8362,User-8362,"los angeles, california, usa",28.0,u8362
8454,User-8454,"auburndale, massachusetts, usa",,u8454
8681,User-8681,"orlando, florida, usa",34.0,u8681
8734,User-8734,"chula vista, california, usa",,u8734
8782,User-8782,"calgary, alberta, canada",239.0,u8782
8801,User-8801,"san francisco, california, usa",24.0,u8801
8870,User-8870,"austin, texas, usa",45.0,u8870
8936,User-8936,"elizabeth city, north carolina, usa",18.0,u8936
8937,User-8937,"murphysboro, ,",37.0,u8937
9354,User-9354,"albuquerque, new mexico, usa",30.0,u9354
9417,User-9417,"whitby, ontario, canada",26.0,u9417
9613,User-9613,"collings lakes, new jersey, usa",34.0,u9613
9747,User-9747,"o`fallon, missouri, usa",,u9747
9856,User-9856,"glendale, colorado, usa",22.0,u9856
9908,User-9908,"woodstock, georgia, usa",36.0,u9908
10030,User-10030,"pittsburgh, pennsylvania, usa",66.0,u10030
10118,User-10118,"minneapolis, minnesota, usa",44.0,u10118
10199,User-10199,"eltham, victoria, australia",17.0,u10199
10314,User-10314,"beaverton, oregon, usa",,u10314
10354,User-10354,"martinsburg, west virginia, usa",15.0,u10354
10447,User-10447,"chicago, illinois, usa",,u10447
10560,User-10560,"chicago, illinois, usa",27.0,u10560
10668,User-10668,"boise, idaho, usa",,u10668
10819,User-10819,"richmond, kentucky, usa",27.0,u10819
10949,User-10949,"columbia, tennessee, usa",,u10949
11224,User-11224,"tumwater, washington, usa",51.0,u11224
11245,User-11245,"scarborough, ontario, canada",,u11245
11362,User-11362,"brighton, ontario, canada",,u11362
11400,User-11400,"ottawa, ontario, canada",49.0,u11400
11601,User-11601,"brooklyn, new york, usa",,u11601
11629,User-11629,"houston, texas, usa",21.0,u11629
11638,User-11638,"seattle, washington, usa",,u11638
11657,User-11657,"cincinnati, ohio, usa",25.0,u11657
11676,User-11676,"n/a, n/a, n/a",,u11676
11687,User-11687,"orillia, ontario, canada",47.0,u11687
11718,User-11718,"reno, nevada, usa",,u11718
11724,User-11724,"west lawn, pennsylvania, usa",42.0,u11724
11832,User-11832,"juneau, alaska, usa",,u11832
11993,User-11993,"lakewood, colorado, usa",37.0,u11993
12100,User-12100,"quezon city, national capital region, philippines",26.0,u12100
12123,User-12123,"portage, michigan, usa",,u12123
12154,User-12154,"pittsburgh, pennsylvania, usa",41.0,u12154
12272,User-12272,"ploiesti, prahova, romania",18.0,u12272
12348,User-12348,"brighton, massachusetts, usa",23.0,u12348
12538,User-12538,"byron, minnesota, usa",18.0,u12538
12707,User-12707,"edmonton, alberta, canada",37.0,u12707
12824,User-12824,"long beach, california, usa",18.0,u12824
12917,User-12917,"moore, oklahoma, usa",24.0,u12917
12982,User-12982,"getxo, vizcaya, spain",41.0,u12982
13082,User-13082,"bellwood, pennsylvania, usa",,u13082
13126,User-13126,"mumbai, maharashtra, india",21.0,u13126
13273,User-13273,"harrisburg, pennsylvania, usa",201.0,u13273
13279,User-13279,"moodus, connecticut, usa",,u13279
13518,User-13518,"fishers, indiana, usa",27.0,u13518
13552,User-13552,"cordova, tennessee, usa",32.0,u13552
13582,User-13582,"lisboa, lisboa, portugal",29.0,u13582
13664,User-13664,"escondido, california, usa",,u13664
13850,User-13850,"online, n/a, usa",28.0,u13850
13973,User-13973,"las vegas, nevada, usa",18.0,u13973
13995,User-13995,"adelaide, south australia, australia",,u13995
14049,User-14049,"burnaby, british columbia, canada",,u14049
14374,User-14374,"porter, maine, usa",57.0,u14374
14387,User-14387,"coalville, leicestershire, england, united kingdom",35.0,u14387
14422,User-14422,"apple valley, minnesota, usa",,u14422
14456,User-14456,"edmonton, alberta, canada",27.0,u14456
14521,User-14521,"providence, rhode island, usa",,u14521
14638,User-14638,"roquemaure, languedoc roussillon, france",33.0,u14638
14667,User-14667,"rocky mount, missouri, usa",,u14667
14744,User-14744,"corry, pennsylvania, usa",27.0,u14744
14768,User-14768,"corvallis, oregon, usa",24.0,u14768
15049,User-15049,"benbrook, texas, usa",28.0,u15049
15408,User-15408,"cary, north carolina, usa",34.0,u15408
15418,User-15418,"vitoria, álava, spain",23.0,u15418
15602,User-15602,"cherry hill, new jersey, usa",21.0,u15602
15819,User-15819,"grapevine, texas, usa",,u15819
15845,User-15845,"bowling green, ohio, usa",,u15845
15957,User-15957,"sydney, new south wales, australia",27.0,u15957
16009,User-16009,"stratford, new jersey, usa",25.0,u16009
16106,User-16106,"albany, california, usa",44.0,u16106
16155,User-16155,"kuala lumpur, , malaysia",47.0,u16155
16263,User-16263,"ashland, wisconsin, usa",,u16263
16488,User-16488,"milwaukee, wisconsin, usa",36.0,u16488
16504,User-16504,"kuching, sarawak, malaysia",28.0,u16504
16545,User-16545,"berkeley, california, usa",,u16545
16551,User-16551,"aurora, colorado, usa",,u16551
16634,User-16634,"little rock, arkansas, usa",42.0,u16634
16718,User-16718,"houston, texas, usa",29.0,u16718
16781,User-16781,"marion, iowa, usa",,u16781
16795,User-16795,"mechanicsville, maryland, usa",47.0,u16795
16916,User-16916,"hackettstown, new jersey, usa",53.0,u16916
16966,User-16966,"waterloo, ontario, canada",41.0,u16966
16996,User-16996,"stratford, iowa, usa",23.0,u16996
16999,User-16999,"alexandria, virginia, usa",48.0,u16999
17003,User-17003,"carlsbad, california, usa",,u17003
17046,User-17046,"lincon, nebraska, usa",35.0,u17046
17177,User-17177,"chapel hill, north carolina, usa",67.0,u17177
17183,User-17183,"zaragoza, zaragoza, spain",23.0,u17183
17190,User-17190,"woodstock, georgia, usa",31.0,u17190
17233,User-17233,"fuquay-varina, north carolina, usa",54.0,u17233
17282,User-17282,"irwin, pennsylvania, usa",38.0,u17282
17402,User-17402,"tucson, arizona, usa",,u17402
17667,User-17667,"iowa city, iowa, usa",33.0,u17667
17761,User-17761,"pinckney, michigan, usa",,u17761
17859,User-17859,"roanoke, virginia, usa",43.0,u17859
17950,User-17950,"puchong, selangor, malaysia",32.0,u17950
18067,User-18067,"kajang, selangor, malaysia",33.0,u18067
18082,User-18082,"southern, california, usa",38.0,u18082
18401,User-18401,"chicago, illinois,",,u18401
18979,User-18979,"huntington beach, california, usa",36.0,u18979
19085,User-19085,"menomonie, wisconsin, usa",60.0,u19085
19336,User-19336,"leavenworth, kansas, usa",,u19336
19493,User-19493,"baldwin, ,",,u19493
19570,User-19570,"bolingbrook, illinois, usa",63.0,u19570
19573,User-19573,"stockton, california, usa",69.0,u19573
19664,User-19664,"katonah, new york, usa",19.0,u19664
19681,User-19681,"del aire, california, usa",44.0,u19681
19711,User-19711,"katy, texas, usa",,u19711
19842,User-19842,"***********, illinois, usa",,u19842
20034,User-20034,"basel, basel-stadt, switzerland",33.0,u20034
20060,User-20060,"baltimore, maryland, usa",48.0,u20060
20106,User-20106,"lancaster, pennsylvania, usa",31.0,u20106
20119,User-20119,"manchester, new hampshire,",51.0,u20119
20172,User-20172,"saratoga springs, utah, usa",27.0,u20172
20180,User-20180,"sacramento, california, usa",36.0,u20180
20201,User-20201,"grove city, ohio, usa",31.0,u20201
20265,User-20265,"tampa, florida, usa",29.0,u20265
20462,User-20462,"bossier city, louisiana, usa",,u20462
20561,User-20561,"baltimore, maryland, usa",40.0,u20561
20680,User-20680,"los angeles, california, usa",41.0,u20680
20703,User-20703,"torrance, california, usa",,u20703
20971,User-20971,"sacramento, california, usa",20.0,u20971
21011,User-21011,"san francisco, california, usa",44.0,u21011
21014,User-21014,"fresno, california, usa",,u21014
21031,User-21031,"alexandria, virginia, usa",36.0,u21031
21252,User-21252,"duluth, minnesota, usa",28.0,u21252
21356,User-21356,"westwood, new jersey, usa",56.0,u21356
21364,User-21364,"san diego, california, usa",32.0,u21364
21404,User-21404,"west vancouver, british columbia, canada",,u21404
21484,User-21484,"madison, wisconsin, usa",21.0,u21484
21576,User-21576,"memphis, tennessee, usa",31.0,u21576
21618,User-21618,"atlanta, georgia, usa",24.0,u21618
21659,User-21659,"san jose, california, usa",31.0,u21659
21875,User-21875,"tampa, florida, usa",43.0,u21875
22045,User-22045,"sacramento, california, usa",,u22045
22074,User-22074,"san luis obispo, california, usa",,u22074
22107,User-22107,"eagan, minnesota, usa",45.0,u22107
22252,User-22252,"elmhurst, new york, usa",38.0,u22252
22338,User-22338,"florissant, missouri, usa",33.0,u22338
22365,User-22365,"castle rock, colorado, usa",51.0,u22365
22521,User-22521,"montgomery, alabama, usa",18.0,u22521
22625,User-22625,"lynbrook, new york, usa",54.0,u22625
22773,User-22773,"brookfield, wisconsin, usa",,u22773
22818,User-22818,"franklin, pennsylvania, usa",28.0,u22818
23020,User-23020,"brooklyn, new york, usa",28.0,u23020
23288,User-23288,"wolseley, saskatchewan, canada",,u23288
23511,User-23511,"chapel hill, north carolina, usa",56.0,u23511
23547,User-23547,"mcallen, texas, usa",26.0,u23547
23571,User-23571,"burbank, california, usa",41.0,u23571
23652,User-23652,"cincinnati, ohio, usa",,u23652
23680,User-23680,"carmichael, ,",,u23680
23699,User-23699,"minneapolis, minnesota, usa",25.0,u23699
23768,User-23768,"st. louis, missouri, usa",45.0,u23768
23771,User-23771,"ogden, utah, usa",,u23771
23871,User-23871,"pompano beach, florida, usa",,u23871
23872,User-23872,"tulsa, oklahoma, usa",22.0,u23872
23902,User-23902,"london, england, united kingdom",,u23902
23933,User-23933,"burleson, texas, usa",43.0,u23933
24186,User-24186,"vineland, new jersey, usa",36.0,u24186
24194,User-24194,"palos hills, illinois, usa",20.0,u24194
24433,User-24433,"deventer, overijssel, netherlands",37.0,u24433
24525,User-24525,"denver, colorado, usa",28.0,u24525
24627,User-24627,"janesville, wisconsin, usa",36.0,u24627
24921,User-24921,"higley, arizona, usa",29.0,u24921
24933,User-24933,"long island, new york, usa",44.0,u24933
24995,User-24995,"ballwin, missouri, usa",56.0,u24995
25131,User-25131,"grimes, iowa, usa",,u25131
25225,User-25225,"houston, texas, usa",55.0,u25225
25253,User-25253,"manchester, connecticut, usa",47.0,u25253
25409,User-25409,"la mesa, california, usa",31.0,u25409
25410,User-25410,"essexville, michigan, usa",,u25410
25533,User-25533,"derby, derbyshire, united kingdom",38.0,u25533
25545,User-25545,"hollsopple, pennsylvania, usa",33.0,u25545
25583,User-25583,"worcester, massachusetts, usa",,u25583
25601,User-25601,"gilbert, arizona, usa",41.0,u25601
25850,User-25850,"mastic beach, new york, usa",50.0,u25850
25919,User-25919,"evansville, indiana, usa",,u25919
25930,User-25930,"hillsborough, new jersey, usa",,u25930
25966,User-25966,"key west, florida, usa",,u25966
25981,User-25981,"nj, new jersey, usa",,u25981
25996,User-25996,"cave creek, arizona, usa",36.0,u25996
26057,User-26057,"halifax, nova scotia, canada",18.0,u26057
26084,User-26084,"tuscaloosa, alabama, usa",21.0,u26084
26145,User-26145,"knoxville, tennessee, usa",24.0,u26145
26240,User-26240,"sacramento, california, usa",,u26240
26371,User-26371,"vancouver, british columbia, canada",65.0,u26371
26487,User-26487,"winder, georgia, usa",44.0,u26487
26516,User-26516,"victor, montana, usa",67.0,u26516
26517,User-26517,"dallas, north carolina, usa",,u26517
26535,User-26535,"hickory, mississippi, usa",41.0,u26535
26544,User-26544,"woodbridge, virginia, usa",37.0,u26544
26553,User-26553,"charlottesville, virginia, usa",,u26553
26583,User-26583,"dollard des ormeaux, quebec, canada",,u26583
26593,User-26593,"peoria, arizona, usa",,u26593
26598,User-26598,"san diego, california, usa",,u26598
26620,User-26620,"napa, california,",,u26620
26621,User-26621,"haskell, new jersey, usa",,u26621
26713,User-26713,"santa cruz, california, usa",39.0,u26713
26883,User-26883,"vienna, vienna, austria",,u26883
27091,User-27091,"marquette, michigan, usa",21.0,u27091
27140,User-27140,"baltimore, maryland, usa",49.0,u27140
27462,User-27462,"lima, ohio, usa",,u27462
27472,User-27472,"bountiful, utah, usa",41.0,u27472
27617,User-27617,"beaverton, ontario, canada",32.0,u27617
27647,User-27647,"lisboa, lisboa, portugal",,u27647
27740,User-27740,"san diego, , usa",57.0,u27740
27812,User-27812,"long beach, california, usa",33.0,u27812
27813,User-27813,"boerne, texas, usa",34.0,u27813
27875,User-27875,"new port richey, florida, usa",,u27875
28016,User-28016,"port clinton, ohio, usa",31.0,u28016
28144,User-28144,"orlando, florida, usa",,u28144
28177,User-28177,"grand rapids, michigan, usa",26.0,u28177
28204,User-28204,"south ohio, nova scotia, canada",61.0,u28204
28222,User-28222,"san diego, california, usa",23.0,u28222
28451,User-28451,"altamonte springs, florida, usa",31.0,u28451
28454,User-28454,"portland, maine, usa",50.0,u28454
28523,User-28523,"springfield, missouri, usa",24.0,u28523
28591,User-28591,"michie, tennessee, usa",33.0,u28591
28592,User-28592,"ellenton, florida, usa",66.0,u28592
28594,User-28594,"thunder bay, ontario, canada",18.0,u28594
28619,User-28619,"hartford, connecticut, usa",,u28619
28634,User-28634,"bad axe, michigan, usa",28.0,u28634
28647,User-28647,"aspinwall, pennsylvania, usa",,u28647
28667,User-28667,"norwood, massachusetts, usa",26.0,u28667
28865,User-28865,"paoli, pennsylvania, usa",39.0,u28865
29209,User-29209,"boca raton, florida, usa",,u29209
29259,User-29259,"mt. airy, , usa",39.0,u29259
29526,User-29526,"knoxville, tennessee, usa",26.0,u29526
29570,User-29570,"ljubljana, n/a, slovenia",24.0,u29570
29789,User-29789,"san francisco, california, usa",,u29789
29855,User-29855,"morris, connecticut, usa",53.0,u29855
30029,User-30029,"simi valley, california, usa",37.0,u30029
30035,User-30035,"vancouver, british columbia, canada",37.0,u30035
30052,User-30052,"minneapolis, minnesota, usa",,u30052
30081,User-30081,"east providence, rhode island, usa",25.0,u30081
30273,User-30273,"naples, florida, usa",25.0,u30273
30276,User-30276,"wildwood, new jersey, usa",49.0,u30276
30445,User-30445,"kuala lumpur, ,",23.0,u30445
30461,User-30461,"bend, oregon, usa",,u30461
30487,User-30487,"newbury park, california, usa",40.0,u30487
30495,User-30495,"charleston, south carolina, usa",19.0,u30495
30511,User-30511,"culemborg, gelderland, netherlands",,u30511
30533,User-30533,"charleston, south carolina, usa",,u30533
30555,User-30555,"corvallis, oregon, usa",22.0,u30555
30594,User-30594,"redding, , usa",25.0,u30594
30711,User-30711,"sydney, new south wales, australia",32.0,u30711
30716,User-30716,"new york, new york, usa",23.0,u30716
30735,User-30735,"corvallis, oregon, usa",,u30735
30770,User-30770,"woodbridge, england, united kingdom",39.0,u30770
30806,User-30806,"halifax, nova scotia, canada",24.0,u30806
30824,User-30824,"saint paul, minnesota, usa",45.0,u30824
30898,User-30898,"richmond, virginia, usa",43.0,u30898
30972,User-30972,"columbiana, alabama, usa",47.0,u30972
30985,User-30985,"cape coral, florida, usa",,u30985
30989,User-30989,"hull, georgia, usa",55.0,u30989
30994,User-30994,"mission hills, california, usa",,u30994
31040,User-31040,"san ramon, california, usa",,u31040
31050,User-31050,"woodbine, maryland, usa",,u31050
31094,User-31094,"cleveland, wisconsin, usa",,u31094
31158,User-31158,"clyde, ohio, usa",33.0,u31158
31256,User-31256,"charleston, south carolina, usa",,u31256
31315,User-31315,"henryville, indiana, usa",34.0,u31315
31343,User-31343,"mesa, arizona, usa",75.0,u31343
31391,User-31391,"wilmington, massachusetts, usa",38.0,u31391
31393,User-31393,"portland, oregon, usa",,u31393
31412,User-31412,"pottstown, pennsylvania, usa",36.0,u31412
31468,User-31468,"yorktown, virginia, usa",33.0,u31468
31471,User-31471,"livingston, louisiana, usa",,u31471
31556,User-31556,"chula vista, california, usa",51.0,u31556
31688,User-31688,"mesa, arizona, usa",,u31688
31714,User-31714,"georgetown, ontario, canada",64.0,u31714
31740,User-31740,"cardiff, california, usa",,u31740
31826,User-31826,"jasper, missouri, usa",54.0,u31826
31846,User-31846,"phoenix, , usa",,u31846
31860,User-31860,"encinitas, california, usa",,u31860
32034,User-32034,"bush, louisiana, usa",50.0,u32034
32122,User-32122,"south daytona, florida, usa",24.0,u32122
32148,User-32148,"edmonton, alberta, canada",,u32148
32188,User-32188,"st. louis, missouri, usa",51.0,u32188
32195,User-32195,"fall river, massachusetts, usa",,u32195
32250,User-32250,"gta, ontario, canada",29.0,u32250
32329,User-32329,"pipe creek, texas, usa",30.0,u32329
32440,User-32440,"dunedin, otago, new zealand",,u32440
32569,User-32569,"richmond hill, ontario, canada",19.0,u32569
32599,User-32599,"york, south carolina, usa",17.0,u32599
32627,User-32627,"casper, wyoming, usa",49.0,u32627
32721,User-32721,"toulouse, haute-garonne, france",36.0,u32721
32773,User-32773,"olathe, kansas, usa",28.0,u32773
32802,User-32802,"courtenay, british columbia, canada",,u32802
33124,User-33124,"london, ontario, canada",,u33124
33179,User-33179,"freedonia, emilia romagna, antarctica",,u33179
33264,User-33264,"oklahoma city, oklahoma, usa",33.0,u33264
33283,User-33283,"winnipeg, manitoba, canada",26.0,u33283
33319,User-33319,"calgary, alberta, canada",24.0,u33319
33580,User-33580,"rockwell, north carolina, usa",27.0,u33580
33614,User-33614,"southaven, mississippi, usa",36.0,u33614
33816,User-33816,"richmond hill, ontario, canada",33.0,u33816
33818,User-33818,"winnipeg, manitoba, canada",29.0,u33818
33832,User-33832,"sterling, virginia, usa",,u33832
33862,User-33862,"abingdon, maryland, usa",,u33862
33933,User-33933,"hull, massachusetts, usa",35.0,u33933
33974,User-33974,"barnhart, missouri, usa",24.0,u33974
33999,User-33999,"pittsburgh, pennsylvania, usa",51.0,u33999
34075,User-34075,"plano, texas, usa",25.0,u34075
34087,User-34087,"brantford, ,",,u34087
34300,User-34300,"burlington, ontario, canada",35.0,u34300
34377,User-34377,"kelowna, british columbia, canada",54.0,u34377
34588,User-34588,"west linn, oregon, usa",,u34588
34600,User-34600,"brooklin, ontario, canada",37.0,u34600
34752,User-34752,"bristow, virginia, usa",26.0,u34752
34987,User-34987,"omaha, nebraska, usa",37.0,u34987
35050,User-35050,"west columbia, south carolina, usa",33.0,u35050
35233,User-35233,"tualatin, oregon, usa",,u35233
35320,User-35320,"melbourne, victoria, australia",24.0,u35320
35445,User-35445,"terre haute, indiana, usa",31.0,u35445
35704,User-35704,"kansas city, missouri, usa",53.0,u35704
35836,User-35836,"rochester, new york, usa",34.0,u35836
35857,User-35857,"mentor, ohio, usa",36.0,u35857
35859,User-35859,"duluth, minnesota, usa",,u35859
35918,User-35918,"reno, nevada, usa",,u35918
36003,User-36003,"shah alam, selangor, malaysia",26.0,u36003
36135,User-36135,"charleston, south carolina, usa",,u36135
36256,User-36256,"amarillo, texas, usa",39.0,u36256
36299,User-36299,"austin, texas, usa",50.0,u36299
36327,User-36327,"wirtz, virginia, usa",,u36327
36554,User-36554,"carrboro, north carolina, usa",48.0,u36554
36606,User-36606,"san marcos, california, usa",39.0,u36606
36609,User-36609,"zachary, louisiana, usa",32.0,u36609
36715,User-36715,"lexington, kentucky, usa",,u36715
36749,User-36749,"newton, mississippi, usa",,u36749
36807,User-36807,"wisconsin rapids, wisconsin, usa",27.0,u36807
36817,User-36817,"south hadley, massachusetts, usa",29.0,u36817
36907,User-36907,"dunnville, ontario, canada",39.0,u36907
36938,User-36938,"saint paul, minnesota, usa",43.0,u36938
37147,User-37147,"north hollywood, california, usa",,u37147
37208,User-37208,"mesa, arizona, usa",30.0,u37208
37227,User-37227,"hamilton, ohio, usa",27.0,u37227
37293,User-37293,"whitehorse, yukon territory, canada",41.0,u37293
37310,User-37310,"americus, georgia, usa",33.0,u37310
37311,User-37311,"oroville, california, usa",,u37311
37400,User-37400,"portland, oregon, usa",27.0,u37400
37447,User-37447,"kingston, new york, usa",,u37447
37493,User-37493,"auxvasse, missouri, usa",,u37493
37512,User-37512,"tulsa, oklahoma, usa",27.0,u37512
37538,User-37538,"kuala lumpur, n/a, malaysia",,u37538
37556,User-37556,"wilton, maine, usa",,u37556
37623,User-37623,"spring, texas, usa",32.0,u37623
37644,User-37644,"sudbury, massachusetts, usa",18.0,u37644
37712,User-37712,"cincinnati, ohio, usa",23.0,u37712
37790,User-37790,"oshawa, ontario, canada",,u37790
37874,User-37874,"williamsburg, virginia, usa",43.0,u37874
37950,User-37950,"calgary, alberta, canada",,u37950
37974,User-37974,"rochester, new york, usa",,u37974
37989,User-37989,"union city, california, usa",57.0,u37989
38023,User-38023,"hayward, california, usa",30.0,u38023
38034,User-38034,"ocala, florida, usa",26.0,u38034
38176,User-38176,"harleysville, pennsylvania, usa",,u38176
38273,User-38273,"chandler, arizona, usa",,u38273
38281,User-38281,"barcelona, catalunya, spain",33.0,u38281
38464,User-38464,"tharston, norwich, england, united kingdom",33.0,u38464
38556,User-38556,"edmonton, alberta, canada",,u38556
38590,User-38590,"memphis, tennessee, usa",31.0,u38590
38660,User-38660,"ottawa, ontario, canada",40.0,u38660
38703,User-38703,"greer, south carolina, usa",49.0,u38703
38718,User-38718,"aloha, ,",,u38718
38933,User-38933,"san diego, california, usa",37.0,u38933
38995,User-38995,"woodbine, maryland, usa",44.0,u38995
39219,User-39219,"port aransas, texas, usa",,u39219
39227,User-39227,"san diego, california, usa",37.0,u39227
39281,User-39281,"morris plains, new jersey, usa",45.0,u39281
39345,User-39345,"jacksonville, florida, usa",47.0,u39345
39372,User-39372,"san marcos, texas, usa",68.0,u39372
39441,User-39441,"boulder, colorado, usa",26.0,u39441
39467,User-39467,"barcelona, catalunya, spain",35.0,u39467
39502,User-39502,"kirkwood, missouri, usa",56.0,u39502
39616,User-39616,"las vegas, nevada, usa",38.0,u39616
39646,User-39646,"fairless hills, pennsylvania, usa",35.0,u39646
39662,User-39662,"little falls, new york, usa",46.0,u39662
39773,User-39773,"miami, florida, usa",49.0,u39773
40110,User-40110,"lincoln, nebraska, usa",,u40110
40330,User-40330,"germantown, maryland, usa",,u40330
40415,User-40415,"san francisco, california, usa",34.0,u40415
40505,User-40505,"kalamazoo, ,",,u40505
40511,User-40511,"wauwatosa, wisconsin, usa",40.0,u40511
40612,User-40612,"sterling heights, michigan, usa",25.0,u40612
40772,User-40772,"nashville, tennessee, usa",49.0,u40772
40798,User-40798,"st. louis, missouri, usa",,u40798
40838,User-40838,"wimberley, texas, usa",54.0,u40838
40888,User-40888,"lethbridge, alberta, canada",49.0,u40888
40889,User-40889,"brainerd, minnesota, usa",37.0,u40889
40914,User-40914,"phoenix, arizona, usa",28.0,u40914
40922,User-40922,"pittsboro, north carolina, usa",53.0,u40922
40943,User-40943,"oklahoma city, oklahoma, usa",40.0,u40943
41084,User-41084,"orlando, florida, usa",36.0,u41084
41177,User-41177,"austin, texas, usa",38.0,u41177
41364,User-41364,"north little rock, arkansas, usa",34.0,u41364
41395,User-41395,"maple, ontario, canada",,u41395
